iter	Passed	Remaining
635	1018	583
636	1020	581
637	1022	579
638	1023	578
639	1025	576
640	1027	575
641	1028	573
642	1030	572
643	1031	570
644	1033	568
645	1036	568
646	1038	566
647	1040	565
648	1041	563
649	1043	561
650	1045	560
651	1046	558
652	1048	557
653	1050	555
654	1052	554
655	1053	552
656	1055	551
657	1056	549
658	1058	547
659	1060	546
660	1061	544
661	1062	542
662	1064	541
663	1066	539
664	1068	538
665	1070	536
666	1071	535
667	1073	533
668	1076	532
669	1078	531
670	1079	529
671	1082	528
672	1084	526
673	1086	525
674	1088	523
675	1089	522
676	1091	520
677	1093	519
678	1095	517
679	1097	516
680	1099	515
681	1101	513
682	1103	512
683	1105	510
684	1107	509
685	1109	507
686	1111	506
687	1113	504
688	1116	503
689	1118	502
690	1120	501
691	1122	499
692	1124	498
693	1127	497
694	1129	495
695	1130	493
696	1132	492
697	1133	490
698	1135	488
699	1137	487
700	1139	486
701	1142	484
702	1144	483
703	1146	482
704	1148	480
705	1150	478
706	1151	477
707	1153	475
708	1154	473
709	1156	472
710	1159	471
711	1161	469
712	1162	468
713	1164	466
714	1166	464
715	1167	463
716	1169	461
717	1171	459
718	1173	458
719	1175	457
720	1176	455
721	1178	453
722	1179	451
723	1180	450
724	1182	448
725	1183	446
726	1186	445
727	1188	444
728	1190	442
729	1192	440
730	1193	439
731	1195	437
732	1196	435
733	1198	434
734	1200	432
735	1203	431
736	1204	429
737	1206	428
738	1208	426
739	1210	425
740	1212	423
741	1213	422
742	1215	420
743	1218	419
744	1220	417
745	1222	416
746	1224	414
747	1226	413
748	1228	411
749	1230	410
750	1232	408
751	1234	407
752	1236	405
753	1238	404
754	1240	402
755	1242	400
756	1244	399
757	1245	397
758	1248	396
759	1250	394
760	1252	393
761	1253	391
762	1255	389
763	1256	388
764	1258	386
765	1260	385
766	1262	383
767	1265	382
768	1267	380
769	1269	379
770	1271	377
771	1272	375
772	1274	374
773	1276	372
774	1279	371
775	1281	369
776	1282	368
777	1284	366
778	1286	364
779	1288	363
780	1289	361
781	1291	359
782	1293	358
783	1295	356
784	1296	355
785	1298	353
786	1300	351
787	1302	350
788	1303	348
789	1304	346
790	1306	345
791	1308	343
792	1310	342
793	1312	340
794	1313	338
795	1315	337
796	1317	335
797	1319	334
798	1321	332
799	1323	330
800	1325	329
801	1327	327
802	1328	326
803	1330	324
804	1332	322
805	1333	320
